Harry,Professor Trelawney,384
Harry,Macnair,138
Harry,Remus,1504
Harry,Poppy,322
Harry,Nagini,1152
Harry,Pig,552
Harry,Pigwidgeon,8214
Harry,Amos,3182
Harry,Cedric,484105
Harry,Ludo Bagman,6420
Harry,Barty,741
Harry,Crouch,82780
Harry,Viktor Krum,4447
Harry,Winky,70431
Harry,Auror,324
Harry,Dennis Creevey,528
Harry,Moody,409967
Harry,Karkaroff,47678
Harry,Great,325
Harry,Bartemius,62
Harry,Maxime,4098
Harry,Fleur Delacour,6883
Harry,Rita Skeeter,57574
Harry,Madam Rosmerta,1454
Harry,Bertha Jorkins,3139
Harry,Trevor,2314
Harry,Padma,13539
Harry,Roger Davies,6643
Harry,Pansy Parkinson,3656
Harry,Sinistra,606
Harry,Grubbly-Plank,4896
Harry,Gabrielle,1682
Harry,Love,94
Harry,Godric Gryffindor,468
Harry,Igor Karkaroff,113
Harry,Minerva,1130
Harry,Tonks,32328
Harry,Kingsley Shacklebolt,2276
Harry,Sturgis Podmore,527
Harry,Emmeline Vance,96
Harry,Who,76
Harry,Kreacher,261342
Harry,Andromeda,936
Harry,Rodolphus,440
Harry,Alastor,103
Harry,Luna Lovegood,2886
Harry,Rose,70
Harry,Fat,235
Harry,Angelina Johnson,411
Harry,Hannah Abbott,435
Harry,Anthony Goldstein,789
Harry,Michael,945
Harry,Zacharias,3165
Harry,Marietta,16308
Harry,Montague,5125
Harry,Phineas Nigellus,7203
Harry,Dawlish,389
Harry,Remus Lupin,621
Harry,Marietta Edgecombe,243
Harry,Grawp,33251
Harry,Gregory Goyle,320
Harry,Magorian,128
Harry,Bellatrix,54569
Harry,Nott,338
Harry,Antonin Dolohov,164
Harry,Horace Slughorn,200
Harry,Mundungus Fletcher,891
Harry,Rubeus Hagrid,165
Harry,Narcissa,4560
Harry,Romilda Vane,1989
Harry,Blaise Zabini,130
Harry,Vincent Crabbe,130
Harry,Bob Ogden,240
Harry,Morfin,16310
Harry,Merope,4235
Harry,Marvolo,4173
Harry,Cormac McLaggen,1270
Harry,Demelza Robins,700
Harry,Professor Snape,47
Harry,Cole,705
Harry,Muriel,33340
Harry,Rufus Scrimgeour,595
Harry,Sybill,192
Harry,Fenrir Greyback,634
Harry,Hokey,2880
Harry,Hepzibah,11200
Harry,Vector,117
Harry,Amycus,2060
Harry,Alecto,712
Harry,Arabella Figg,95
Harry,Yaxley,19771
Harry,Grindelwald,288
Harry,Uncle Vernon,1066
Harry,Pius Thicknesse,100
Harry,Ted Tonks,577
Harry,Mad-Eye,2807
Harry,Beedle,178
Harry,Xenophilius,51093
Harry,Elphias Doge,88
Harry,Phineas Nigellus Black,192
Harry,Aberforth,172
Harry,Reg,249
Harry,Mafalda Hopkirk,83
Harry,Runcorn,4576
Harry,Cattermole,83
Harry,Albert,460
Harry,Dirk Cresswell,294
Harry,Gregorovitch,486
Harry,Scabior,12864
Harry,Nymphadora Tonks,68
Harry,Travers,8190
Harry,Bogrod,7371
Harry,Terry,73
Harry,Minerva McGonagall,124
Harry,Filius,62
Harry,Helena Ravenclaw,384
Hagrid,McGonagall,494
Hagrid,Harry,495
Hagrid,Lily,11
Hagrid,James,22
Dudley,Harry,529854
Dudley,Petunia,47424
Dudley,Vernon,89296
Dudley,Figg,306
Dudley,Dennis,45
Dudley,Marge,5909
Dudley,Great,45
Dudley,Hedwig,119
Dudley,Ron,330
Dudley,Draco Malfoy,2
Dudley,Slytherin,3
Dudley,Gryffindor,1
Dudley,Hermione,2308
Dudley,Dobby,171
Dudley,Lord Voldemort,16
Dudley,Fred,513
Dudley,George,514
Dudley,Weasley,592
Dudley,Cedric,2323
Dudley,Crouch,12
Dudley,Tonks,40
Dudley,Ginny,33
